zipcode,city,state,latitude,longitude,timezone,dst
1745,"Fayville","MA",42.3,-71.5,-5,1
1746,"Holliston","MA",42.2,-71.44,-5,1
1747,"Hopedale","MA",42.13,-71.54,-5,1
1748,"Hopkinton","MA",42.22,-71.53,-5,1
1749,"Hudson","MA",42.39,-71.56,-5,1
1750,"Natick","MA",42.27,-71.38,-5,1
1752,"Marlborough","MA",42.35,-71.55,-5,1
1754,"Maynard","MA",42.43,-71.46,-5,1
1756,"Mendon","MA",42.09,-71.54,-5,1
1757,"Milford","MA",42.15,-71.52,-5,1
1760,"Natick","MA",42.29,-71.35,-5,1
1770,"Sherborn","MA",42.23,-71.37,-5,1
1772,"Southborough","MA",42.3,-71.53,-5,1
1773,"Lincoln","MA",42.43,-71.3,-5,1
1775,"Stow","MA",42.42,-71.51,-5,1
1776,"Sudbury","MA",42.39,-71.43,-5,1
1778,"Wayland","MA",42.35,-71.36,-5,1
